product_id,product,category,individual_category,brand_name,description,price_usd
13504004,Wearing Apparel/Accessories,Topwear,tshirts,H&M,hm men blue round neck pure cotton t shirt regular fit,4.767025089605735
11257750,Wearing Apparel/Accessories,Western,sweatshirts,H&M,hm women black hooded top,17.909199522102746
12345338,Wearing Apparel/Accessories,Western,shirts,H&M,hm women black oversized cotton shirt,17.909199522102746
13130286,Wearing Apparel/Accessories,Inner Wear &  Sleep Wear,socks,ADIDAS,adidas men pack of 3 assorted ankle length socks,5.722819593787335
14240582,Wearing Apparel/Accessories,Bottom Wear,shorts,H&M,hm men black solid regular fit sweatshirt shorts,9.545997610513739
10139275,Wearing Apparel/Accessories,Sports Wear,tshirts,Nike,nike men black  white printed standard fit as m nsw futura cotton pure cotton t shirt,15.471923536439665
16457834,Wearing Apparel/Accessories,Western,sweaters,H&M,hm women white jumper,9.545997610513739
8843127,Wearing Apparel/Accessories,Sports Wear,tshirts,ADIDAS,adidas men navy blue classic 3 stripes solid round neck sustainable t shirt,11.935483870967742
15746196,Wearing Apparel/Accessories,Topwear,sweatshirts,H&M,hm men green solid relaxed fit hoodie,17.909199522102746
14399804,Wearing Apparel/Accessories,Indian Wear,kurta-sets,Anouk,anouk women cream coloured  pink floral printed kurta with palazzos  with dupatta,41.80406212664277
11101422,Wearing Apparel/Accessories,Western,dresses,Rustorange,rustorange women maroon  grey printed a line dress,31.64874551971326
14376808,Wearing Apparel/Accessories,Plus Size,kurtas,Sztori,sztori women plus size pink solid straight kurta,17.909199522102746
15004020,Wearing Apparel/Accessories,Bottom Wear,shorts,Puma,puma men black slim fit zippered knitted sports shorts,21.493428912783752
12872472,Wearing Apparel/Accessories,Indian Wear,palazzos,Clora Creation,clora creation women pack of 2 grey  brown solid wide leg palazzos,28.661887694145758
14312264,Wearing Apparel/Accessories,Plus Size,sweatshirts,Sztori,sztori women plus size peach coloured solid sweatshirt with embellished detail ,33.44086021505376
16601348,Wearing Apparel/Accessories,Indian Wear,kurta-sets,AHIKA,ahika women green ethnic motifs printed kurta set with dupatta,44.76702508960573
14868168,Wearing Apparel/Accessories,Indian Wear,kurta-sets,VAABA,vaaba women pink  white chikankari kurta with trousers  dupatta,48.98446833930705
15183010,Wearing Apparel/Accessories,Plus Size,jackets,plusS,pluss women black solid denim jacket,57.34767025089606
15470056,Wearing Apparel/Accessories,Bottom Wear,trousers,RARE RABBIT,rare rabbit men red slim fit chinos trousers,41.80406212664277
16412934,Wearing Apparel/Accessories,Indian Wear,lehenga-choli,SHOPGARB,shopgarb women pink embellished semi stitched lehenga  unstitched blouse with dupatta,143.36917562724014
16345734,Wearing Apparel/Accessories,Plus Size,tshirts,Sztori,sztori men plus size charcoal grey  yellow colourblocked t shirt,14.324970131421743
14868494,Wearing Apparel/Accessories,Indian Wear,kurta-sets,Freehand,freehand men beige  green pure cotton kurta set with nehru jacket,59.72520908004779
13561988,Wearing Apparel/Accessories,Indian Wear,sarees,KALINI,kalini black  yellow cotton blend printed taant saree,30.8363201911589
15599130,Wearing Apparel/Accessories,Indian Wear,sarees,Mitera,mitera floral saree with embellished border,79.55794504181601
16748200,Wearing Apparel/Accessories,Bottom Wear,trousers,SUITLTD,suitltd men charcoal slim fit chinos trousers,16.714456391875746
14084226,Wearing Apparel/Accessories,Topwear,tshirts,QUANCIOUS,quancious men red  blue printed round neck organic cotton sustainable t shirt,19.701314217443247
14201122,Wearing Apparel/Accessories,Indian Wear,kurta-sets,SOJANYA,sojanya men off white solid kurta set with printed jacket,83.62007168458781
10608248,Wearing Apparel/Accessories,Indian Wear,kurta-sets,DEYANN,deyann men blue  cream coloured self design kurta with churidar,30.94384707287933
