msrp,trading_partner_cn,trading_partner_hk,trading_partner_other_countries,trading_partner_sg,trading_partner_tr,line_count,seized
675.0,1,0,0,0,0,5,1.0
30.0,0,0,1,0,0,10,1.0
100.0,1,0,0,0,0,1,1.0
3960.0,0,0,1,0,0,6,1.0
175.0,0,0,1,0,0,21,1.0
1680.0,1,0,0,0,0,47,1.0
760.0,0,1,0,0,0,8,1.0
62830.0,1,0,0,0,0,37,1.0
11495.0,0,0,0,1,0,1,1.0
1850.0,0,0,0,0,1,11,1.0
1650.0,0,0,0,0,1,40,1.0
98.0,1,0,0,0,0,1,1.0
225.0,0,1,0,0,0,18,1.0
18150.0,0,1,0,0,0,11,1.0
38.0,0,1,0,0,0,3,1.0
60.0,0,0,1,0,0,6,1.0
9000.0,0,1,0,0,0,34,1.0
2754.0,0,1,0,0,0,14,1.0
65.0,1,0,0,0,0,265,1.0
1675.0,1,0,0,0,0,1,1.0
1650.0,0,0,1,0,0,16,1.0
38.0,0,0,1,0,0,32,1.0
124500.0,1,0,0,0,0,126,1.0
1680.0,0,1,0,0,0,5,1.0
17250.0,0,0,1,0,0,11,1.0
90.0,0,0,1,0,0,12,1.0
1570.0,0,1,0,0,0,3,1.0
1485.0,0,0,1,0,0,14,1.0
51.0,0,0,1,0,0,48,1.0
200.0,0,0,1,0,0,1,1.0
800.0,0,0,1,0,0,51,1.0
770.0,1,0,0,0,0,1,1.0
318.0,0,0,1,0,0,14,1.0
34221.0,1,0,0,0,0,2,1.0
7080.0,0,0,1,0,0,6,1.0
1763.0,1,0,0,0,0,4,1.0
2100.0,0,0,0,0,1,7,1.0
60.0,0,0,0,0,0,7,1.0
11700.0,0,1,0,0,0,183,1.0
380.0,0,0,1,0,0,37,1.0
9000.0,0,0,0,0,1,7,1.0
30000.0,1,0,0,0,0,12,1.0
6300.0,1,0,0,0,0,3,1.0
1890.0,0,0,1,0,0,8,1.0
7470.0,0,1,0,0,0,1,1.0
3021.0,0,1,0,0,0,2,1.0
4900.0,0,0,1,0,0,4,1.0
500.0,0,0,1,0,0,438,1.0
585.0,0,1,0,0,0,4,1.0
1440.0,0,0,0,0,1,18,1.0
4780.0,1,0,0,0,0,8,1.0
2888000.0,1,0,0,0,0,2,1.0
10700.0,1,0,0,0,0,436,1.0
89.97,0,1,0,0,0,10,1.0
125.0,1,0,0,0,0,40,1.0
510.0,0,0,0,0,1,13,1.0
950.0,0,0,1,0,0,117,1.0
4560.0,0,0,1,0,0,6,1.0
250.0,0,0,1,0,0,6,1.0
60.0,0,1,0,0,0,127,1.0
790.0,0,0,1,0,0,14,1.0
32000.0,0,0,1,0,0,37,1.0
9600.0,0,0,1,0,0,5,1.0
9.99,1,0,0,0,0,4,1.0
49400.0,0,0,1,0,0,29,1.0
1125.0,0,0,1,0,0,22,1.0
11000.0,0,0,1,0,0,5,1.0
62400.0,0,1,0,0,0,1,1.0
90300.0,0,1,0,0,0,2,1.0
2680.0,0,0,1,0,0,60,1.0
600.0,0,0,1,0,0,6,1.0
400.0,0,0,1,0,0,7,1.0
8330.0,0,0,0,0,1,8,1.0
625.0,0,0,1,0,0,8,1.0
5.0,0,0,1,0,0,94,1.0
625.0,0,0,0,0,1,18,1.0
1375.0,0,0,0,0,1,39,1.0
12250.0,0,1,0,0,0,4,1.0
455.0,1,0,0,0,0,6,1.0
62121.0,0,0,1,0,0,4,1.0
1295.0,1,0,0,0,0,6,1.0
98000.0,1,0,0,0,0,38,1.0
1240.0,0,0,1,0,0,172,1.0
1635.0,1,0,0,0,0,3,1.0
150.0,0,0,1,0,0,92,1.0
450.0,0,1,0,0,0,2,1.0
2000.0,1,0,0,0,0,8,1.0
447.84,1,0,0,0,0,6,1.0
2150.0,1,0,0,0,0,2,1.0
649.9,1,0,0,0,0,125,1.0
210.0,1,0,0,0,0,10,1.0
100.0,1,0,0,0,0,88,1.0
22410.0,1,0,0,0,0,6,1.0
11.0,0,1,0,0,0,2,1.0
16900.0,0,1,0,0,0,1,1.0
2390.0,0,0,1,0,0,10,1.0
3430.0,1,0,0,0,0,80,1.0
3095.0,0,0,1,0,0,1,1.0
710.0,0,0,0,0,1,32,1.0
24153.0,1,0,0,0,0,2,1.0
815.0,0,0,0,0,1,3,1.0
11350.0,1,0,0,0,0,1,1.0
240.0,0,1,0,0,0,6,1.0
550.0,0,0,1,0,0,21,1.0
1737200.0,1,0,0,0,0,115,1.0
2955.0,0,1,0,0,0,1,1.0
1540.0,0,0,1,0,0,18,1.0
148000.0,0,0,1,0,0,1,1.0
1490.0,0,1,0,0,0,26,1.0
3200.0,0,0,1,0,0,14,1.0
420.0,0,1,0,0,0,14,1.0
378.0,0,0,1,0,0,2,1.0
5420.0,0,0,1,0,0,5,1.0
120.0,0,0,1,0,0,2,1.0
750.0,1,0,0,0,0,78,1.0
760.0,0,1,0,0,0,3,1.0
19698.0,1,0,0,0,0,4,1.0
11130.0,0,1,0,0,0,83,1.0
2750.0,0,0,1,0,0,15,1.0
4800.0,0,0,1,0,0,11,1.0
650.0,1,0,0,0,0,14,1.0
590.0,0,0,1,0,0,22,1.0
299.0,0,0,0,0,0,15,1.0
4800.0,0,0,1,0,0,16,1.0
160.0,1,0,0,0,0,18,1.0
1800.0,0,0,0,0,1,29,1.0
575.0,0,1,0,0,0,7,1.0
1450.0,1,0,0,0,0,126,1.0
41600.0,0,1,0,0,0,2,1.0
2160.0,0,0,1,0,0,24,1.0
4160.0,1,0,0,0,0,1,1.0
2080000.0,1,0,0,0,0,4,1.0
220.0,1,0,0,0,0,3,1.0
27997.0,0,1,0,0,0,1,1.0
8050.0,0,0,1,0,0,12,1.0
4515.0,0,0,1,0,0,11,1.0
13500.0,1,0,0,0,0,3,1.0
37500.0,0,0,1,0,0,33,1.0
285.0,1,0,0,0,0,2,1.0
1092.0,0,0,0,0,1,48,1.0
18600.0,0,0,1,0,0,13,1.0
11250.0,0,0,1,0,0,177,1.0
2890.0,0,1,0,0,0,2,1.0
2600.0,0,0,1,0,0,15,1.0
133.2,0,0,1,0,0,18,1.0
7350.0,1,0,0,0,0,6,1.0
11550.0,0,1,0,0,0,5,1.0
1192.0,0,0,1,0,0,8,1.0
1070.0,0,1,0,0,0,11,1.0
5250.0,0,0,1,0,0,1,1.0
10150.0,0,1,0,0,0,1,1.0
1.01,0,0,1,0,0,298,1.0
