product_id,brand_name,trading_partner,line_count,msrp,seized_pred
2296012,Roadster,cn,24,17.909199522102746,1
13780156,LOCOMOTIVE,cn,24,13.727598566308243,0
11895958,Roadster,cn,24,16.714456391875746,1
4335679,Zivame,cn,24,15.471923536439665,1
11690882,Roadster,cn,24,7.156511350059737,1
2490950,Mast & Harbour,cn,24,7.156511350059737,1
6744434,HIGHLANDER,cn,24,17.909199522102746,1
8439415,Mayra,cn,24,16.666666666666668,1
17381394,Roadster,cn,24,13.118279569892472,1
2359257,HERE&NOW,cn,24,32.84348864994026,1
7695793,HRX by Hrithik Roshan,cn,24,32.246117084826764,1
10307375,Roadster,cn,24,8.351254480286737,1
12873874,Anubhutee,cn,24,40.609318996415766,0
11634538,Athena,cn,24,29.85663082437276,0
2312181,Roadster,cn,24,9.54599761051374,1
13842386,HIGHLANDER,cn,24,13.130227001194744,1
10473520,Vishudh,cn,24,20.29868578255675,1
10561392,Sangria,cn,24,47.77777777777778,1
12391750,Tokyo Talkies,cn,24,25.675029868578253,1
2522986,DressBerry,cn,24,11.935483870967742,1
17385142,Roadster,cn,24,15.507765830346475,1
12153330,Anouk,cn,24,19.10394265232975,0
1864573,Enamor,cn,24,10.14336917562724,1
13205276,all about you,cn,24,17.909199522102746,1
11535928,KASSUALLY,cn,24,15.519713261648745,1
6552977,RARE,cn,24,15.519713261648745,1
9476129,Zastraa,cn,24,32.246117084826764,1
2017530,WISSTLER,cn,24,10.74074074074074,1
11173948,Sangria,cn,24,10.74074074074074,1
11118428,Roadster,cn,24,14.324970131421743,0
17383362,Roadster,cn,24,19.09199522102748,0
9971493,Vishudh,cn,24,28.064516129032256,1
7846797,Cottinfab,cn,24,29.25925925925926,1
10771696,QUIERO,cn,24,35.35244922341696,0
10969948,Roadster,cn,24,10.74074074074074,1
11938872,ELEVANTO,cn,24,11.935483870967742,1
14154054,Tokyo Talkies,cn,24,14.324970131421743,0
2477061,WROGN,cn,24,33.44086021505376,1
10187401,WROGN,cn,24,31.05137395459976,1
6791064,HRX by Hrithik Roshan,cn,24,22.688172043010752,1
